@relation D2b-weka.filters.unsupervised.attribute.Standardize

@attribute x1 numeric
@attribute x2 numeric
@attribute y {0.0,1.0}

@data
-0.190477,-0.14501,0.0
-1.479857,0.518491,1.0
1.835414,-0.557502,0.0
-1.284233,0.360378,1.0
1.549497,-0.806441,0.0
-1.299543,0.91329,1.0
0.81047,0.055153,1.0
-1.575131,-0.334439,1.0
-1.20385,0.595622,1.0
-0.094405,1.534345,1.0
-0.064811,-0.895566,0.0
0.702612,0.301375,1.0
-0.812515,1.504206,1.0
-0.330702,1.648954,1.0
0.787841,-1.636142,0.0
-1.496007,0.469025,1.0
-1.487045,-0.321574,1.0
-0.851926,1.256317,1.0
1.075742,-1.235742,0.0
-1.199041,0.723756,1.0
-0.508935,0.139671,0.0
1.653023,0.214001,0.0
0.589811,-0.671315,1.0
-0.011218,-1.263378,0.0
-0.107138,-0.820257,0.0
0.364142,-1.598048,0.0
-0.241947,-0.302283,0.0
-0.384346,-0.06342,0.0
-0.206485,0.671649,0.0
-0.400132,-0.031467,0.0
0.552385,-1.593414,0.0
0.571506,0.41491,1.0
0.800855,-1.318686,0.0
0.116007,-1.300833,0.0
0.426186,0.621579,1.0
-0.171713,1.576699,1.0
0.664072,-1.576505,0.0
0.052143,-1.187567,0.0
0.512816,0.59133,1.0
-1.283856,-0.226426,1.0
0.511518,0.880624,1.0
0.572471,-0.279057,1.0
1.280107,-1.240128,0.0
-1.352134,0.921653,1.0
0.202051,1.405583,1.0
-1.349574,-0.192585,1.0
-0.209085,1.446039,1.0
1.821427,-0.424193,0.0
-1.370909,0.425099,1.0
1.793453,-0.10094,0.0
-0.33907,-0.639836,0.0
-1.518612,0.185585,1.0
0.552976,0.616423,1.0
0.313192,-1.268375,0.0
0.324801,-1.570352,0.0
-0.83828,1.41836,1.0
-0.37264,-0.791458,0.0
-0.051564,1.223827,1.0
-1.517407,0.741158,1.0
0.683366,-1.620856,0.0
-1.397764,-0.371027,1.0
-0.282855,1.553295,1.0
0.32286,1.070699,1.0
1.876191,-0.116796,0.0
0.336398,1.01152,1.0
-0.319784,-0.057302,0.0
1.640811,-0.829862,0.0
-1.224368,0.833655,1.0
0.699747,-1.32405,0.0
1.301808,-1.212166,0.0
-0.397194,-0.318999,0.0
-0.434321,1.687421,1.0
0.698794,-1.701752,0.0
-0.480743,0.328473,0.0
-1.288117,0.554933,1.0
-0.994852,1.40287,1.0
1.685774,-0.613691,0.0
-0.485931,-0.064478,0.0
-1.308968,0.185029,1.0
-0.509991,1.53646,1.0
-0.100291,-1.251455,0.0
-0.459685,-0.46059,0.0
-0.378041,1.675279,1.0
-0.274493,0.156935,0.0
-0.427959,1.411638,1.0
0.014608,-1.000245,0.0
1.515003,-1.220248,0.0
-1.471454,-0.789186,1.0
1.83394,-0.259499,0.0
-0.049049,1.3034,1.0
1.24543,-1.408752,0.0
-0.416354,1.51094,1.0
0.127985,1.213393,1.0
-0.923034,1.464887,1.0
1.501328,-0.898748,0.0
-1.322848,0.089974,1.0
-0.913522,1.340137,1.0
0.571235,0.306617,1.0
-0.785147,1.452104,1.0
1.112458,-1.482587,0.0
-0.450028,1.422431,1.0
1.671023,-0.975963,0.0
0.741685,0.142395,1.0
0.630056,-0.223613,1.0
-0.110212,1.414573,1.0
0.925533,-1.439647,0.0
-0.152831,-0.891357,0.0
1.312826,-1.198089,0.0
-0.917514,1.093107,1.0
1.230555,-1.119871,0.0
-1.604611,-0.12542,1.0
-0.118105,1.377791,1.0
0.435523,-1.640388,0.0
0.482216,-1.567879,0.0
-0.223756,-0.655283,0.0
-0.055561,-1.072296,0.0
0.730077,0.014829,1.0
0.443379,-1.376042,0.0
1.396737,-1.428194,0.0
-0.342316,-0.726711,0.0
-0.143892,1.575925,1.0
-1.036113,1.335997,1.0
-0.136439,-0.83713,0.0
1.698642,-0.271902,0.0
-1.385606,-0.256392,1.0
0.941644,-1.462411,0.0
0.960412,-1.624864,0.0
0.564489,-0.00107,1.0
0.256333,1.329722,1.0
1.925705,0.038886,0.0
-1.250459,1.064984,1.0
1.764661,-0.289228,0.0
1.586165,-0.95292,0.0
-0.803428,1.186715,1.0
-0.223631,-0.723473,0.0
-1.265038,0.959741,1.0
0.309376,-1.542464,0.0
0.376658,1.052209,1.0
-1.479599,0.176651,1.0
-1.294691,0.453849,1.0
-1.202581,0.529341,1.0
0.557046,-1.341741,0.0
-1.275625,0.212906,1.0
0.959255,-1.550955,0.0
-1.156251,0.948421,1.0
-0.645645,1.287796,1.0
-1.065766,0.984129,1.0
0.54374,0.418511,1.0
1.838276,0.194692,0.0
1.936217,-0.361017,0.0
1.324553,-1.349363,0.0
-1.453831,0.546831,1.0
1.128504,-1.334703,0.0
-0.142343,-1.013033,0.0
1.415932,-1.042513,0.0
1.669151,-0.556609,0.0
-0.435501,0.62409,0.0
-1.514384,0.328328,1.0
-0.294622,0.31653,0.0
-0.424988,1.30494,1.0
0.587873,0.051071,1.0
-0.094404,-0.903739,0.0
-0.538254,1.29187,1.0
-1.306752,0.155613,1.0
-0.596081,1.389325,1.0
-1.561617,-0.470142,1.0
0.70874,0.402222,1.0
-1.36384,-0.090927,1.0
-1.292549,0.431861,1.0
1.679544,-0.80645,0.0
0.545178,0.379049,1.0
0.350303,1.004942,1.0
-0.213286,0.442427,0.0
0.08353,-1.446151,0.0
-1.066368,1.358492,1.0
-1.368607,-0.429613,1.0
-0.117673,-1.032855,0.0
1.597989,-0.629358,0.0
0.697684,-0.340586,1.0
0.739931,0.68136,1.0
-1.572312,0.023647,1.0
0.863008,-1.417744,0.0
0.603722,0.360406,1.0
0.398014,0.749591,1.0
-1.543563,-0.180451,1.0
-0.313622,1.673938,1.0
0.257525,0.937093,1.0
-0.308343,1.532885,1.0
0.792582,0.054069,1.0
-0.263933,-0.141048,0.0
-1.413699,0.62857,1.0
1.139795,-1.280975,0.0
1.598979,-0.598257,0.0
0.139343,-1.258393,0.0
-0.734163,1.166357,1.0
-0.582557,1.621065,1.0
1.417492,-1.10828,0.0
-1.218138,0.645986,1.0
-1.321126,0.769266,1.0
0.085754,-1.069449,0.0
